Matter,NonPatent,PublicationNumber,PublicationDate,Patentee,Description,Notes,CiteDate,CitedBy,OriginalURL,TranslationURL
2920951-441000,,US20210354283A1,,,,,,,,
2920951-441000,,US 20060222684,,,,,,,,
2920951-441000,,US 20120046296,,,,,,,,
2920951-441000,,US 20140094418,,,,,,,,
2920951-441000,,US 20140107056,,,,,,,,
2920951-441000,,US 20140107057,,,,,,,,
2920951-441000,,US 2014019437,,,,,,,,
2920951-441000,,US 20140235869,,,,,,,,
2920951-441000,,US 20140243375,,,,,,,,
2920951-441000,,US 20140243408,,,,,,,,
2920951-441000,,US 20150038440,,,,,,,,
2920951-441000,,US 20150353532,,,,,,,,
2920951-441000,,US 2015320046,,,,,,,,
2920951-441000,,US 20160052907,,,,,,,,
2920951-441000,,US 20170071207,,,,,,,,
2920951-441000,,US 20170247361,,,,,,,,
2920951-441000,,US 20170283405,,,,,,,,
2920951-441000,,US 20180153170,,,,,,,,
2920951-441000,,US 20190315728,,,,,,,,
2920951-441000,,US 20210236420,,,,,,,,
2920951-441000,,US 20220201983,,,,,,,,
2920951-441000,,US20020045598,,,,,,,,
2920951-441000,,US20020045653,,,,,,,,
2920951-441000,,US20020004486 A1,,,,,,,,
2920951-441000,,US20020010142A1,,,,,,,,
2920951-441000,,US20020028780 A1,,,,,,,,
2920951-441000,,US20020035061,,,,,,,,
2920951-441000,,US2002081292A1,,,,,,,,
2920951-441000,,US2003007958A1,,,,,,,,
2920951-441000,,US20030096822A1,,,,,,,,
2920951-441000,,US20030232750A1,,,,,,,,
2920951-441000,,US2003236203A1,,,,,,,,
2920951-441000,,US20040037869,,,,,,,,
2920951-441000,,US20040077601,,,,,,,,
2920951-441000,,US20040180034,,,,,,,,
2920951-441000,,US20040198676A1,,,,,,,,
2920951-441000,,US20040234579,,,,,,,,
2920951-441000,,US2004234580A1,,,,,,,,
2920951-441000,,US20050158367,,,,,,,,
2920951-441000,,US20050032718A1,,,,,,,,
2920951-441000,,US20050032719A1,,,,,,,,
2920951-441000,,US20050084490,,,,,,,,
2920951-441000,,US20050106202A1,,,,,,,,
2920951-441000,,US20050186272,,,,,,,,
2920951-441000,,US20050203322,,,,,,,,
2920951-441000,,US20050226908A1,,,,,,,,
2920951-441000,,US20050250970A1,,,,,,,,
2920951-441000,,US2005176657A1,,,,,,,,
2920951-441000,,US20060014802A1,,,,,,,,
2920951-441000,,US20060067954,,,,,,,,
2920951-441000,,US20060068020,,,,,,,,
2920951-441000,,US20060141009A1,,,,,,,,
2920951-441000,,US20060142624A1,,,,,,,,
2920951-441000,,US20060205681,,,,,,,,
2920951-441000,,US20060205681,,,,,,,,
2920951-441000,,US20060228399,,,,,,,,
2920951-441000,,US20060239928A1,,,,,,,,
2920951-441000,,US20060264423,,,,,,,,
2920951-441000,,US20060287257,,,,,,,,
2920951-441000,,US2006198850A1,,,,,,,,
2920951-441000,,US20070026056,,,,,,,,
2920951-441000,,US20070042013A1,,,,,,,,
2920951-441000,,US20070128239A1,,,,,,,,
2920951-441000,,US20070190130,,,,,,,,
2920951-441000,,US20080027011,,,,,,,,
2920951-441000,,US20080075759A1,,,,,,,,
2920951-441000,,US20080146640A1,,,,,,,,
2920951-441000,,US20080171709A1,,,,,,,,
2920951-441000,,US20080171768A1,,,,,,,,
2920951-441000,,US20080188556,,,,,,,,
2920951-441000,,US20080194694A1,,,,,,,,
2920951-441000,,US20080200540,,,,,,,,
2920951-441000,,US20080293645,,,,,,,,
2920951-441000,,US2008306138,,,,,,,,
2920951-441000,,US20090011007,,,,,,,,
2920951-441000,,US20090036498,,,,,,,,
2920951-441000,,US20090098200A1,,,,,,,,
2920951-441000,,US20090137524A1,,,,,,,,
2920951-441000,,US20090264479,,,,,,,,
2920951-441000,,US20090312371,,,,,,,,
2920951-441000,,US2009036458A1,,,,,,,,
2920951-441000,,US20100010093,,,,,,,,
2920951-441000,,US20100035980,,,,,,,,
2920951-441000,,US20100087497A1,,,,,,,,
2920951-441000,,US20100113359,,,,,,,,
2920951-441000,,US20100120782A1,,,,,,,,
2920951-441000,,US20100125089A1,,,,,,,,
2920951-441000,,US20100144888,,,,,,,,
2920951-441000,,US20100226943,,,,,,,,
2920951-441000,,US20100266628A1,,,,,,,,
2920951-441000,,US20100304998,,,,,,,,
2920951-441000,,US20100305056A1,,,,,,,,
2920951-441000,,US2010254959A1,,,,,,,,
2920951-441000,,US2010286154A1,,,,,,,,
2920951-441000,,US20110015153,,,,,,,,
2920951-441000,,US20110039794A1,,,,,,,,
2920951-441000,,US20110059175,,,,,,,,
2920951-441000,,US20110059988A1,,,,,,,,
2920951-441000,,US20110105976,,,,,,,,
2920951-441000,,US20110117014A1,,,,,,,,
2920951-441000,,US20110144046,,,,,,,,
2920951-441000,,US20110150780,,,,,,,,
2920951-441000,,US20110152312A1,,,,,,,,
2920951-441000,,US20110165237,,,,,,,,
2920951-441000,,US20110196011A1,,,,,,,,
2920951-441000,,US20110223234A1,,,,,,,,
2920951-441000,,US20110245191,,,,,,,,
2920951-441000,,US20110263520,,,,,,,,
2920951-441000,,US20110294751A1,,,,,,,,
2920951-441000,,US2011160218A1,,,,,,,,
2920951-441000,,US2011245157A1,,,,,,,,
2920951-441000,,US20120035122A1,,,,,,,,
2920951-441000,,US20120052108A1,,,,,,,,
2920951-441000,,US20120077765A1,,,,,,,,
2920951-441000,,US20120101053A1,,,,,,,,
2920951-441000,,US20120134975,,,,,,,,
2920951-441000,,US20120141574A1,,,,,,,,
2920951-441000,,US20120196821A1,,,,,,,,
2920951-441000,,US20120231032A1,,,,,,,,
2920951-441000,,US20120238517A1,,,,,,,,
2920951-441000,,US20120255502A1,,,,,,,,
2920951-441000,,US20120277249A1,,,,,,,,
2920951-441000,,US20120289470A1,,,,,,,,
2920951-441000,,US20120316124A1,,,,,,,,
2920951-441000,,US20120329769A1,,,,,,,,
2920951-441000,,US2012071484A1,,,,,,,,
2920951-441000,,US2012232026A1,,,,,,,,
2920951-441000,,US2012238516A1,,,,,,,,
2920951-441000,,US20130023488A1,,,,,,,,
2920951-441000,,US20130046019,,,,,,,,
2920951-441000,,US20130052250,,,,,,,,
2920951-441000,,US20130059795A1,,,,,,,,
2920951-441000,,US20130090296A1,,,,,,,,
2920951-441000,,US20130143956A1,,,,,,,,
2920951-441000,,US20130197006A1,,,,,,,,
2920951-441000,,US20130225412,,,,,,,,
2920951-441000,,US20130225516A1,,,,,,,,
2920951-441000,,US20130243886A1,,,,,,,,
2920951-441000,,US20130244962A1,,,,,,,,
2920951-441000,,US20130274302,,,,,,,,
2920951-441000,,US20130331348A1,,,,,,,,
2920951-441000,,US2013065846A1,,,,,,,,
2920951-441000,,US2013085064A1,,,,,,,,
2920951-441000,,US2013203692A1,,,,,,,,
2920951-441000,,US2013210623A1,,,,,,,,
2920951-441000,,US2013281501A1,,,,,,,,
2920951-441000,,US20140011758A1,,,,,,,,
2920951-441000,,US20140079798A1,,,,,,,,
2920951-441000,,US20140079799A1,,,,,,,,
2920951-441000,,US20140079800A1,,,,,,,,
2920951-441000,,US20140086833A1,,,,,,,,
2920951-441000,,US20140107161A1,,,,,,,,
2920951-441000,,US20140199296A1,,,,,,,,
2920951-441000,,US20140206633A1,,,,,,,,
2920951-441000,,US20140228577A1,,,,,,,,
2920951-441000,,US20140235533,,,,,,,,
2920951-441000,,US20140315794A1,,,,,,,,
2920951-441000,,US20140315839A1,,,,,,,,
2920951-441000,,US20140323559A1,,,,,,,,
2920951-441000,,US20140343004A1,,,,,,,,
2920951-441000,,US20140348787,,,,,,,,
2920951-441000,,US20140356448A1,,,,,,,,
2920951-441000,,US20140363518A1,,,,,,,,
2920951-441000,,US20140371179,,,,,,,,
2920951-441000,,US20140378415A1,,,,,,,,
2920951-441000,,US2014127320A1,,,,,,,,
2920951-441000,,US2014128358A1,,,,,,,,
2920951-441000,,US2014179623A1,,,,,,,,
2920951-441000,,US20150011596,,,,,,,,
2920951-441000,,US20150038440A1,,,,,,,,
2920951-441000,,US20150057239A1,,,,,,,,
2920951-441000,,US20150086645A1,,,,,,,,
2920951-441000,,US20150099006A1,,,,,,,,
2920951-441000,,US20150111936A1,,,,,,,,
2920951-441000,,US20150119377,,,,,,,,
2920951-441000,,US20150164047,,,,,,,,
2920951-441000,,US20150164816,,,,,,,,
2920951-441000,,US20150182562A1,,,,,,,,
2920951-441000,,US20150183785A1,,,,,,,,
2920951-441000,,US20150190417A1,,,,,,,,
2920951-441000,,US20150196607A1,,,,,,,,
2920951-441000,,US20150209355A1,,,,,,,,
2920951-441000,,US20150216887A1,,,,,,,,
2920951-441000,,US20150216888,,,,,,,,
2920951-441000,,US20150223463,,,,,,,,
2920951-441000,,US20150224052A1,,,,,,,,
2920951-441000,,US20150231069,,,,,,,,
2920951-441000,,US20150272120A1,,,,,,,,
2920951-441000,,US20150291612A1,,,,,,,,
2920951-441000,,US20150342889A1,,,,,,,,
2920951-441000,,US20150359764,,,,,,,,
2920951-441000,,US20150359825A1,,,,,,,,
2920951-441000,,US20150359826A1,,,,,,,,
2920951-441000,,US2015164864A1,,,,,,,,
2920951-441000,,US2015289518A1,,,,,,,,
2920951-441000,,US20160008436A1,,,,,,,,
2920951-441000,,US20160008471,,,,,,,,
2920951-441000,,US20160016927A1,,,,,,,,
2920951-441000,,US20160051524A1,,,,,,,,
2920951-441000,,US20160082073A1,,,,,,,,
2920951-441000,,US20160120913A1,,,,,,,,
2920951-441000,,US20160120914A1,,,,,,,,
2920951-441000,,US2016015689A1,,,,,,,,
2920951-441000,,US20160165888A1,,,,,,,,
2920951-441000,,US20160184223A1,,,,,,,,
2920951-441000,,US20160193151,,,,,,,,
2920951-441000,,US20160220505,,,,,,,,
2920951-441000,,US20160220566,,,,,,,,
2920951-441000,,US20160235720A1,,,,,,,,
2920951-441000,,US2016024026A1,,,,,,,,
2920951-441000,,US2016024027A1,,,,,,,,
2920951-441000,,US20160256442A1,,,,,,,,
2920951-441000,,US20160286808A1,,,,,,,,
2920951-441000,,US20160287728A1,,,,,,,,
2920951-441000,,US20160303086A1,,,,,,,,
2920951-441000,,US20160317439A1,,,,,,,,
2920951-441000,,US20160317502A1,,,,,,,,
2920951-441000,,US20160331789A1,,,,,,,,
2920951-441000,,US20160331790A1,,,,,,,,
2920951-441000,,US20160332975A1,,,,,,,,
2920951-441000,,US20160346278A1,,,,,,,,
2920951-441000,,US20160347829A1,,,,,,,,
2920951-441000,,US20160354358A1,,,,,,,,
2920951-441000,,US20160361297A1,,,,,,,,
2920951-441000,,US20160368883A1,,,,,,,,
2920951-441000,,US2016051519A1,,,,,,,,
2920951-441000,,US2016296499A1,,,,,,,,
2920951-441000,,US2016374994A1,,,,,,,,
2920951-441000,,US20170022197A1,,,,,,,,
2920951-441000,,US20170152250A1,,,,,,,,
2920951-441000,,US20170157040A1,,,,,,,,
2920951-441000,,US20170172971A1,,,,,,,,
2920951-441000,,US20170189425A1,,,,,,,,
2920951-441000,,US20170202968,,,,,,,,
2920951-441000,,US2017020849A1,,,,,,,,
2920951-441000,,US2017020955A1,,,,,,,,
2920951-441000,,US20170216216,,,,,,,,
2920951-441000,,US20170239301A1,,,,,,,,
2920951-441000,,US20170290766A1,,,,,,,,
2920951-441000,,US20170311601A1,,,,,,,,
2920951-441000,,US20170320873A1,,,,,,,,
2920951-441000,,US20170333601A1,,,,,,,,
2920951-441000,,US20170340779,,,,,,,,
2920951-441000,,US20170348286A1,,,,,,,,
2920951-441000,,US20170348286A1,,,,,,,,
2920951-441000,,US20170354593A1,,,,,,,,
2920951-441000,,US2017135347A1,,,,,,,,
2920951-441000,,US2017239218A1,,,,,,,,
2920951-441000,,US2017360045A1,,,,,,,,
2920951-441000,,US2018000743A1,,,,,,,,
2920951-441000,,US20180155301A1,,,,,,,,
2920951-441000,,US20180155339A1,,,,,,,,
2920951-441000,,US20180169073A1,,,,,,,,
2920951-441000,,US20180207093A1,,,,,,,,
2920951-441000,,US20180221338A1,,,,,,,,
2920951-441000,,US20180243333A1,,,,,,,,
2920951-441000,,US20180251428A1,,,,,,,,
2920951-441000,,US20180263905A1,,,,,,,,
2920951-441000,,US20180271883A1,,,,,,,,
2920951-441000,,US20180296556A1,,,,,,,,
2920951-441000,,US20180340034A1,,,,,,,,
2920951-441000,,US20180354917A1,,,,,,,,
2920951-441000,,US20180361010,,,,,,,,
2920951-441000,,US2018085352A1,,,,,,,,
2920951-441000,,US20190016686,,,,,,,,
2920951-441000,,US20190071407A1,,,,,,,,
2920951-441000,,US20190133129A1,,,,,,,,
2920951-441000,,US20190166842A1,,,,,,,,
2920951-441000,,US20190192486A1,,,,,,,,
2920951-441000,,US20190200610A1,,,,,,,,
2920951-441000,,US20190201332A1,,,,,,,,
2920951-441000,,US20190269765,,,,,,,,
2920951-441000,,US20190290474,,,,,,,,
2920951-441000,,US20190336442A1,,,,,,,,
2920951-441000,,US20190343808A1,,,,,,,,
2920951-441000,,US20190375725A1,,,,,,,,
2920951-441000,,US2019070158A1,,,,,,,,
2920951-441000,,US2019091133A1,,,,,,,,
2920951-441000,,US2019105305A1,,,,,,,,
2920951-441000,,US2019216784A1,,,,,,,,
2920951-441000,,US2019375860A1,,,,,,,,
2920951-441000,,US20200061637A1,,,,,,,,
2920951-441000,,US20200000720A1,,,,,,,,
2920951-441000,,US20200011856A1,,,,,,,,
2920951-441000,,US20200030232A1,,,,,,,,
2920951-441000,,US20200030797A1,,,,,,,,
2920951-441000,,US20200031822A1,,,,,,,,
2920951-441000,,US20200069591A1,,,,,,,,
2920951-441000,,US20200113823A1,,,,,,,,
2920951-441000,,US20200147076A1,,,,,,,,
2920951-441000,,US2020022959A1,,,,,,,,
2920951-441000,,US20200270219A1,,,,,,,,
2920951-441000,,US20200282014,,,,,,,,
2920951-441000,,US20200315172,,,,,,,,
2920951-441000,,US20200324014A1,,,,,,,,
2920951-441000,,US20200331867A1,,,,,,,,
2920951-441000,,US20200339559A1,,,,,,,,
2920951-441000,,US20200383330A1,,,,,,,,
2920951-441000,,US2020038370A1,,,,,,,,
2920951-441000,,US20200390748A1,,,,,,,,
2920951-441000,,US20200399675A1,,,,,,,,
2920951-441000,,US20200405692A1,,,,,,,,
2920951-441000,,US2020360290A1,,,,,,,,
2920951-441000,,US2020390688A1,,,,,,,,
2920951-441000,,US20210220360A1,,,,,,,,
2920951-441000,,US20210022344A1,,,,,,,,
2920951-441000,,US20210030776A1,,,,,,,,
2920951-441000,,US20210061775,,,,,,,,
2920951-441000,,US20210161867A1,,,,,,,,
2920951-441000,,US20210177749A1,,,,,,,,
2920951-441000,,US20210220393,,,,,,,,
2920951-441000,,US20210252024,,,,,,,,
2920951-441000,,US20210283093,,,,,,,,
2920951-441000,,US20210353537A1,,,,,,,,
2920951-441000,,US20210361666,,,,,,,,
2920951-441000,,US20210379023A1,,,,,,,,
2920951-441000,,US2021087164A1,,,,,,,,
2920951-441000,,US2021100247A1,,,,,,,,
2920951-441000,,US2021177808A1,,,,,,,,
2920951-441000,,US2021299104A1,,,,,,,,
2920951-441000,,US2021355139A1,,,,,,,,
2920951-441000,,US20220296564A1,,,,,,,,
2920951-441000,,US20220323421A1,,,,,,,,
2920951-441000,,US20220017473A1,,,,,,,,
2920951-441000,,US20220048874A1,,,,,,,,
2920951-441000,,US20220073479A1,,,,,,,,
