Matter,NonPatent,PublicationNumber,PublicationDate,Patentee,Description,Notes,CiteDate,CitedBy,OriginalURL,TranslationURL
2920951-441000,,US-20210354283-A1,,,,,,,,
2920951-441000,,US-20060222684,,,,,,,,
2920951-441000,,US-20120046296,,,,,,,,
2920951-441000,,US-20140094418,,,,,,,,
2920951-441000,,US-20140107056,,,,,,,,
2920951-441000,,US-20140107057,,,,,,,,
2920951-441000,,US-2014019437,,,,,,,,
2920951-441000,,US-20140235869,,,,,,,,
2920951-441000,,US-20140243375,,,,,,,,
2920951-441000,,US-20140243408,,,,,,,,
2920951-441000,,US-20150038440,,,,,,,,
2920951-441000,,US-20150353532,,,,,,,,
2920951-441000,,US-2015320046,,,,,,,,
2920951-441000,,US-20160052907,,,,,,,,
2920951-441000,,US-20170071207,,,,,,,,
2920951-441000,,US-20170247361,,,,,,,,
2920951-441000,,US-20170283405,,,,,,,,
2920951-441000,,US-20180153170,,,,,,,,
2920951-441000,,US-20190315728,,,,,,,,
2920951-441000,,US-20210236420,,,,,,,,
2920951-441000,,US-20220201983,,,,,,,,
2920951-441000,,US-20020045598,,,,,,,,
2920951-441000,,US-20020045653,,,,,,,,
2920951-441000,,US-20020004486-A1,,,,,,,,
2920951-441000,,US-20020010142-A1,,,,,,,,
2920951-441000,,US-20020028780-A1,,,,,,,,
2920951-441000,,US-20020035061,,,,,,,,
2920951-441000,,US-2002081292-A1,,,,,,,,
2920951-441000,,US-2003007958-A1,,,,,,,,
2920951-441000,,US-20030096822-A1,,,,,,,,
2920951-441000,,US-20030232750-A1,,,,,,,,
2920951-441000,,US-2003236203-A1,,,,,,,,
2920951-441000,,US-20040037869,,,,,,,,
2920951-441000,,US-20040077601,,,,,,,,
2920951-441000,,US-20040180034,,,,,,,,
2920951-441000,,US-20040198676-A1,,,,,,,,
2920951-441000,,US-20040234579,,,,,,,,
2920951-441000,,US-2004234580-A1,,,,,,,,
2920951-441000,,US-20050158367,,,,,,,,
2920951-441000,,US-20050032718-A1,,,,,,,,
2920951-441000,,US-20050032719-A1,,,,,,,,
2920951-441000,,US-20050084490,,,,,,,,
2920951-441000,,US-20050106202-A1,,,,,,,,
2920951-441000,,US-20050186272,,,,,,,,
2920951-441000,,US-20050203322,,,,,,,,
2920951-441000,,US-20050226908-A1,,,,,,,,
2920951-441000,,US-20050250970-A1,,,,,,,,
2920951-441000,,US-2005176657-A1,,,,,,,,
2920951-441000,,US-20060014802-A1,,,,,,,,
2920951-441000,,US-20060067954,,,,,,,,
2920951-441000,,US-20060068020,,,,,,,,
2920951-441000,,US-20060141009-A1,,,,,,,,
2920951-441000,,US-20060142624-A1,,,,,,,,
2920951-441000,,US-20060205681,,,,,,,,
2920951-441000,,US-20060205681,,,,,,,,
2920951-441000,,US-20060228399,,,,,,,,
2920951-441000,,US-20060239928-A1,,,,,,,,
2920951-441000,,US-20060264423,,,,,,,,
2920951-441000,,US-20060287257,,,,,,,,
2920951-441000,,US-2006198850-A1,,,,,,,,
2920951-441000,,US-20070026056,,,,,,,,
2920951-441000,,US-20070042013-A1,,,,,,,,
2920951-441000,,US-20070128239-A1,,,,,,,,
2920951-441000,,US-20070190130,,,,,,,,
2920951-441000,,US-20080027011,,,,,,,,
2920951-441000,,US-20080075759-A1,,,,,,,,
2920951-441000,,US-20080146640-A1,,,,,,,,
2920951-441000,,US-20080171709-A1,,,,,,,,
2920951-441000,,US-20080171768-A1,,,,,,,,
2920951-441000,,US-20080188556,,,,,,,,
2920951-441000,,US-20080194694-A1,,,,,,,,
2920951-441000,,US-20080200540,,,,,,,,
2920951-441000,,US-20080293645,,,,,,,,
2920951-441000,,US-2008306138,,,,,,,,
2920951-441000,,US-20090011007,,,,,,,,
2920951-441000,,US-20090036498,,,,,,,,
2920951-441000,,US-20090098200-A1,,,,,,,,
2920951-441000,,US-20090137524-A1,,,,,,,,
2920951-441000,,US-20090264479,,,,,,,,
2920951-441000,,US-20090312371,,,,,,,,
2920951-441000,,US-2009036458-A1,,,,,,,,
2920951-441000,,US-20100010093,,,,,,,,
2920951-441000,,US-20100035980,,,,,,,,
2920951-441000,,US-20100087497-A1,,,,,,,,
2920951-441000,,US-20100113359,,,,,,,,
2920951-441000,,US-20100120782-A1,,,,,,,,
2920951-441000,,US-20100125089-A1,,,,,,,,
2920951-441000,,US-20100144888,,,,,,,,
2920951-441000,,US-20100226943,,,,,,,,
2920951-441000,,US-20100266628-A1,,,,,,,,
2920951-441000,,US-20100304998,,,,,,,,
2920951-441000,,US-20100305056-A1,,,,,,,,
2920951-441000,,US-2010254959-A1,,,,,,,,
2920951-441000,,US-2010286154-A1,,,,,,,,
2920951-441000,,US-20110015153,,,,,,,,
2920951-441000,,US-20110039794-A1,,,,,,,,
2920951-441000,,US-20110059175,,,,,,,,
2920951-441000,,US-20110059988-A1,,,,,,,,
2920951-441000,,US-20110105976,,,,,,,,
2920951-441000,,US-20110117014-A1,,,,,,,,
2920951-441000,,US-20110144046,,,,,,,,
2920951-441000,,US-20110150780,,,,,,,,
2920951-441000,,US-20110152312-A1,,,,,,,,
2920951-441000,,US-20110165237,,,,,,,,
2920951-441000,,US-20110196011-A1,,,,,,,,
2920951-441000,,US-20110223234-A1,,,,,,,,
2920951-441000,,US-20110245191,,,,,,,,
2920951-441000,,US-20110263520,,,,,,,,
2920951-441000,,US-20110294751-A1,,,,,,,,
2920951-441000,,US-2011160218-A1,,,,,,,,
2920951-441000,,US-2011245157-A1,,,,,,,,
2920951-441000,,US-20120035122-A1,,,,,,,,
2920951-441000,,US-20120052108-A1,,,,,,,,
2920951-441000,,US-20120077765-A1,,,,,,,,
2920951-441000,,US-20120101053-A1,,,,,,,,
2920951-441000,,US-20120134975,,,,,,,,
2920951-441000,,US-20120141574-A1,,,,,,,,
2920951-441000,,US-20120196821-A1,,,,,,,,
2920951-441000,,US-20120231032-A1,,,,,,,,
2920951-441000,,US-20120238517-A1,,,,,,,,
2920951-441000,,US-20120255502-A1,,,,,,,,
2920951-441000,,US-20120277249-A1,,,,,,,,
2920951-441000,,US-20120289470-A1,,,,,,,,
2920951-441000,,US-20120316124-A1,,,,,,,,
2920951-441000,,US-20120329769-A1,,,,,,,,
2920951-441000,,US-2012071484-A1,,,,,,,,
2920951-441000,,US-2012232026-A1,,,,,,,,
2920951-441000,,US-2012238516-A1,,,,,,,,
2920951-441000,,US-20130023488-A1,,,,,,,,
2920951-441000,,US-20130046019,,,,,,,,
2920951-441000,,US-20130052250,,,,,,,,
2920951-441000,,US-20130059795-A1,,,,,,,,
2920951-441000,,US-20130090296-A1,,,,,,,,
2920951-441000,,US-20130143956-A1,,,,,,,,
2920951-441000,,US-20130197006-A1,,,,,,,,
2920951-441000,,US-20130225412,,,,,,,,
2920951-441000,,US-20130225516-A1,,,,,,,,
2920951-441000,,US-20130243886-A1,,,,,,,,
2920951-441000,,US-20130244962-A1,,,,,,,,
2920951-441000,,US-20130274302,,,,,,,,
2920951-441000,,US-20130331348-A1,,,,,,,,
2920951-441000,,US-2013065846-A1,,,,,,,,
2920951-441000,,US-2013085064-A1,,,,,,,,
2920951-441000,,US-2013203692-A1,,,,,,,,
2920951-441000,,US-2013210623-A1,,,,,,,,
2920951-441000,,US-2013281501-A1,,,,,,,,
2920951-441000,,US-20140011758-A1,,,,,,,,
2920951-441000,,US-20140079798-A1,,,,,,,,
2920951-441000,,US-20140079799-A1,,,,,,,,
2920951-441000,,US-20140079800-A1,,,,,,,,
2920951-441000,,US-20140086833-A1,,,,,,,,
2920951-441000,,US-20140107161-A1,,,,,,,,
2920951-441000,,US-20140199296-A1,,,,,,,,
2920951-441000,,US-20140206633-A1,,,,,,,,
2920951-441000,,US-20140228577-A1,,,,,,,,
2920951-441000,,US-20140235533,,,,,,,,
2920951-441000,,US-20140315794-A1,,,,,,,,
2920951-441000,,US-20140315839-A1,,,,,,,,
2920951-441000,,US-20140323559-A1,,,,,,,,
2920951-441000,,US-20140343004-A1,,,,,,,,
2920951-441000,,US-20140348787,,,,,,,,
2920951-441000,,US-20140356448-A1,,,,,,,,
2920951-441000,,US-20140363518-A1,,,,,,,,
2920951-441000,,US-20140371179,,,,,,,,
2920951-441000,,US-20140378415-A1,,,,,,,,
2920951-441000,,US-2014127320-A1,,,,,,,,
2920951-441000,,US-2014128358-A1,,,,,,,,
2920951-441000,,US-2014179623-A1,,,,,,,,
2920951-441000,,US-20150011596,,,,,,,,
2920951-441000,,US-20150038440-A1,,,,,,,,
2920951-441000,,US-20150057239-A1,,,,,,,,
2920951-441000,,US-20150086645-A1,,,,,,,,
2920951-441000,,US-20150099006-A1,,,,,,,,
2920951-441000,,US-20150111936-A1,,,,,,,,
2920951-441000,,US-20150119377,,,,,,,,
2920951-441000,,US-20150164047,,,,,,,,
2920951-441000,,US-20150164816,,,,,,,,
2920951-441000,,US-20150182562-A1,,,,,,,,
2920951-441000,,US-20150183785-A1,,,,,,,,
2920951-441000,,US-20150190417-A1,,,,,,,,
2920951-441000,,US-20150196607-A1,,,,,,,,
2920951-441000,,US-20150209355-A1,,,,,,,,
2920951-441000,,US-20150216887-A1,,,,,,,,
2920951-441000,,US-20150216888,,,,,,,,
2920951-441000,,US-20150223463,,,,,,,,
2920951-441000,,US-20150224052-A1,,,,,,,,
2920951-441000,,US-20150231069,,,,,,,,
2920951-441000,,US-20150272120-A1,,,,,,,,
2920951-441000,,US-20150291612-A1,,,,,,,,
2920951-441000,,US-20150342889-A1,,,,,,,,
2920951-441000,,US-20150359764,,,,,,,,
2920951-441000,,US-20150359825-A1,,,,,,,,
2920951-441000,,US-20150359826-A1,,,,,,,,
2920951-441000,,US-2015164864-A1,,,,,,,,
2920951-441000,,US-2015289518-A1,,,,,,,,
2920951-441000,,US-20160008436-A1,,,,,,,,
2920951-441000,,US-20160008471,,,,,,,,
2920951-441000,,US-20160016927-A1,,,,,,,,
2920951-441000,,US-20160051524-A1,,,,,,,,
2920951-441000,,US-20160082073-A1,,,,,,,,
2920951-441000,,US-20160120913-A1,,,,,,,,
2920951-441000,,US-20160120914-A1,,,,,,,,
2920951-441000,,US-2016015689-A1,,,,,,,,
2920951-441000,,US-20160165888-A1,,,,,,,,
2920951-441000,,US-20160184223-A1,,,,,,,,
2920951-441000,,US-20160193151,,,,,,,,
2920951-441000,,US-20160220505,,,,,,,,
2920951-441000,,US-20160220566,,,,,,,,
2920951-441000,,US-20160235720-A1,,,,,,,,
2920951-441000,,US-2016024026-A1,,,,,,,,
2920951-441000,,US-2016024027-A1,,,,,,,,
2920951-441000,,US-20160256442-A1,,,,,,,,
2920951-441000,,US-20160286808-A1,,,,,,,,
2920951-441000,,US-20160287728-A1,,,,,,,,
2920951-441000,,US-20160303086-A1,,,,,,,,
2920951-441000,,US-20160317439-A1,,,,,,,,
2920951-441000,,US-20160317502-A1,,,,,,,,
2920951-441000,,US-20160331789-A1,,,,,,,,
2920951-441000,,US-20160331790-A1,,,,,,,,
2920951-441000,,US-20160332975-A1,,,,,,,,
2920951-441000,,US-20160346278-A1,,,,,,,,
2920951-441000,,US-20160347829-A1,,,,,,,,
2920951-441000,,US-20160354358-A1,,,,,,,,
2920951-441000,,US-20160361297-A1,,,,,,,,
2920951-441000,,US-20160368883-A1,,,,,,,,
2920951-441000,,US-2016051519-A1,,,,,,,,
2920951-441000,,US-2016296499-A1,,,,,,,,
2920951-441000,,US-2016374994-A1,,,,,,,,
2920951-441000,,US-20170022197-A1,,,,,,,,
2920951-441000,,US-20170152250-A1,,,,,,,,
2920951-441000,,US-20170157040-A1,,,,,,,,
2920951-441000,,US-20170172971-A1,,,,,,,,
2920951-441000,,US-20170189425-A1,,,,,,,,
2920951-441000,,US-20170202968,,,,,,,,
2920951-441000,,US-2017020849-A1,,,,,,,,
2920951-441000,,US-2017020955-A1,,,,,,,,
2920951-441000,,US-20170216216,,,,,,,,
2920951-441000,,US-20170239301-A1,,,,,,,,
2920951-441000,,US-20170290766-A1,,,,,,,,
2920951-441000,,US-20170311601-A1,,,,,,,,
2920951-441000,,US-20170320873-A1,,,,,,,,
2920951-441000,,US-20170333601-A1,,,,,,,,
2920951-441000,,US-20170340779,,,,,,,,
2920951-441000,,US-20170348286-A1,,,,,,,,
2920951-441000,,US-20170348286-A1,,,,,,,,
2920951-441000,,US-20170354593-A1,,,,,,,,
2920951-441000,,US-2017135347-A1,,,,,,,,
2920951-441000,,US-2017239218-A1,,,,,,,,
2920951-441000,,US-2017360045-A1,,,,,,,,
2920951-441000,,US-2018000743-A1,,,,,,,,
2920951-441000,,US-20180155301-A1,,,,,,,,
2920951-441000,,US-20180155339-A1,,,,,,,,
2920951-441000,,US-20180169073-A1,,,,,,,,
2920951-441000,,US-20180207093-A1,,,,,,,,
2920951-441000,,US-20180221338-A1,,,,,,,,
2920951-441000,,US-20180243333-A1,,,,,,,,
2920951-441000,,US-20180251428-A1,,,,,,,,
2920951-441000,,US-20180263905-A1,,,,,,,,
2920951-441000,,US-20180271883-A1,,,,,,,,
2920951-441000,,US-20180296556-A1,,,,,,,,
2920951-441000,,US-20180340034-A1,,,,,,,,
2920951-441000,,US-20180354917-A1,,,,,,,,
2920951-441000,,US-20180361010,,,,,,,,
2920951-441000,,US-2018085352-A1,,,,,,,,
2920951-441000,,US-20190016686,,,,,,,,
2920951-441000,,US-20190071407-A1,,,,,,,,
2920951-441000,,US-20190133129-A1,,,,,,,,
2920951-441000,,US-20190166842-A1,,,,,,,,
2920951-441000,,US-20190192486-A1,,,,,,,,
2920951-441000,,US-20190200610-A1,,,,,,,,
2920951-441000,,US-20190201332-A1,,,,,,,,
2920951-441000,,US-20190269765,,,,,,,,
2920951-441000,,US-20190290474,,,,,,,,
2920951-441000,,US-20190336442-A1,,,,,,,,
2920951-441000,,US-20190343808-A1,,,,,,,,
2920951-441000,,US-20190375725-A1,,,,,,,,
2920951-441000,,US-2019070158-A1,,,,,,,,
2920951-441000,,US-2019091133-A1,,,,,,,,
2920951-441000,,US-2019105305-A1,,,,,,,,
2920951-441000,,US-2019216784-A1,,,,,,,,
2920951-441000,,US-2019375860-A1,,,,,,,,
2920951-441000,,US-20200061637-A1,,,,,,,,
2920951-441000,,US-20200000720-A1,,,,,,,,
2920951-441000,,US-20200011856-A1,,,,,,,,
2920951-441000,,US-20200030232-A1,,,,,,,,
2920951-441000,,US-20200030797-A1,,,,,,,,
2920951-441000,,US-20200031822-A1,,,,,,,,
2920951-441000,,US-20200069591-A1,,,,,,,,
2920951-441000,,US-20200113823-A1,,,,,,,,
2920951-441000,,US-20200147076-A1,,,,,,,,
2920951-441000,,US-2020022959-A1,,,,,,,,
2920951-441000,,US-20200270219-A1,,,,,,,,
2920951-441000,,US-20200282014,,,,,,,,
2920951-441000,,US-20200315172,,,,,,,,
2920951-441000,,US-20200324014-A1,,,,,,,,
2920951-441000,,US-20200331867-A1,,,,,,,,
2920951-441000,,US-20200339559-A1,,,,,,,,
2920951-441000,,US-20200383330-A1,,,,,,,,
2920951-441000,,US-2020038370-A1,,,,,,,,
2920951-441000,,US-20200390748-A1,,,,,,,,
2920951-441000,,US-20200399675-A1,,,,,,,,
2920951-441000,,US-20200405692-A1,,,,,,,,
2920951-441000,,US-2020360290-A1,,,,,,,,
2920951-441000,,US-2020390688-A1,,,,,,,,
2920951-441000,,US-20210220360-A1,,,,,,,,
